timestamp,load1,load5,load15,mem_available_kib,swap_free_kib,validation_process_count,validation_tree_rss_mib,docker_running_count
2026-09-17T13:32:14.127721+00:00,6.54,6.11,5.50,61994017,0,10,188.4,2
2026-09-17T13:32:15.274175+00:00,6.54,6.11,5.50,62035923,0,7,171.44,2
2026-09-17T13:32:16.418576+00:00,6.54,6.11,5.50,62041086,0,10,192.72,2
2026-09-17T13:32:17.565273+00:00,6.41,6.09,5.49,62052672,0,10,184.18,2
2026-09-17T13:32:18.717954+00:00,6.41,6.09,5.49,62020764,0,7,170.27,2
2026-09-17T13:32:19.865131+00:00,6.41,6.09,5.49,61996827,0,10,201.61,2
2026-09-17T13:32:21.013233+00:00,6.41,6.09,5.49,62065895,0,7,170.34,2
2026-09-17T13:32:22.106185+00:00,6.06,6.02,5.47,62064457,0,10,180.37,2
2026-09-17T13:32:23.243600+00:00,6.06,6.02,5.47,62008487,0,10,194.39,2
2026-09-17T13:32:24.426328+00:00,6.06,6.02,5.47,62084547,0,12,200.7,2
2026-09-17T13:32:25.568421+00:00,6.06,6.02,5.47,62106235,0,12,200.66,2
2026-09-17T13:32:26.712798+00:00,5.73,5.95,5.46,62122791,0,10,198.36,2
2026-09-17T13:32:27.837926+00:00,5.73,5.95,5.46,62135658,0,10,206.69,2
2026-09-17T13:32:28.976877+00:00,5.73,5.95,5.46,62078976,0,6,112.43,2
2026-09-17T13:32:30.091720+00:00,5.73,5.95,5.46,62017034,0,10,201.06,2
2026-09-17T13:32:31.220915+00:00,5.73,5.95,5.46,62084653,0,7,170.25,2
2026-09-17T13:32:32.361652+00:00,5.76,5.95,5.46,62005528,0,10,193.22,2
2026-09-17T13:32:33.491558+00:00,5.76,5.95,5.46,62045618,0,10,198.88,2
2026-09-17T13:32:34.606763+00:00,5.76,5.95,5.46,62081144,0,10,201.93,2
2026-09-17T13:32:35.729676+00:00,5.76,5.95,5.46,62070480,0,6,127.81,2
2026-09-17T13:32:36.853893+00:00,5.54,5.91,5.45,61924840,0,10,198.88,2
2026-09-17T13:32:37.918148+00:00,5.54,5.91,5.45,61943825,0,10,198.51,2
2026-09-17T13:32:38.994260+00:00,5.54,5.91,5.45,62003803,0,10,179.09,2
2026-09-17T13:32:40.142591+00:00,5.54,5.91,5.45,62017127,0,10,191.46,2
2026-09-17T13:32:41.277873+00:00,5.54,5.91,5.45,62029049,0,10,192.21,2
2026-09-17T13:32:42.413515+00:00,5.49,5.89,5.44,62034362,0,10,193.89,2
2026-09-17T13:32:43.554051+00:00,5.49,5.89,5.44,62000086,0,10,191.8,2
2026-09-17T13:32:44.666713+00:00,5.49,5.89,5.44,61986624,0,10,194.32,2
2026-09-17T13:32:45.783636+00:00,5.49,5.89,5.44,62004794,0,10,200.43,2
2026-09-17T13:32:46.847388+00:00,5.37,5.86,5.43,62027938,0,7,178.98,2
2026-09-17T13:32:47.923167+00:00,5.37,5.86,5.43,62046964,0,7,170.4,2
2026-09-17T13:32:49.070255+00:00,5.37,5.86,5.43,62079683,0,7,113.51,2
2026-09-17T13:32:50.206985+00:00,5.37,5.86,5.43,62078353,0,7,93.08,2
2026-09-17T13:32:51.282312+00:00,5.37,5.86,5.43,62020628,0,7,126.87,2
2026-09-17T13:32:52.429916+00:00,5.26,5.83,5.43,61998007,0,11,192.0,2
2026-09-17T13:32:53.587588+00:00,5.26,5.83,5.43,62003875,0,11,200.98,2
2026-09-17T13:32:54.726359+00:00,5.26,5.83,5.43,62030063,0,11,191.3,2
2026-09-17T13:32:55.859199+00:00,5.26,5.83,5.43,62066401,0,8,128.37,2
2026-09-17T13:32:56.990702+00:00,5.00,5.76,5.41,62032251,0,11,207.92,2
2026-09-17T13:32:58.149400+00:00,5.00,5.76,5.41,62067695,0,8,171.91,2
2026-09-17T13:32:59.290737+00:00,5.00,5.76,5.41,62052381,0,11,193.54,2
2026-09-17T13:33:00.398980+00:00,5.00,5.76,5.41,62033055,0,11,198.12,2
2026-09-17T13:33:01.544626+00:00,4.84,5.72,5.40,62046622,0,11,193.64,2
2026-09-17T13:33:02.688033+00:00,4.84,5.72,5.40,62055892,0,11,193.69,2
2026-09-17T13:33:03.834023+00:00,4.84,5.72,5.40,62053815,0,11,197.73,2
2026-09-17T13:33:04.981126+00:00,4.84,5.72,5.40,62016981,0,12,236.02,2
